user_id,note_id,timestamp,is_same_college,is_same_branch,is_same_semester,semester_distance,is_enrolled_subject,user_semester,user_account_age_days,user_total_views,user_total_downloads,user_total_likes,user_total_bookmarks,user_total_chats,user_has_bio,note_page_count,note_file_size_kb,note_age_days,note_tag_count,note_is_processed,note_views_hist,note_downloads_hist,note_likes_hist,note_bookmarks_hist,note_download_view_ratio,user_subject_interaction_count,user_note_prior_views,user_uploader_affinity,semantic_affinity_score,target,interaction_source
synthetic_user_0025,8706bbb8-8343-4edc-9af4-244b9cad76aa,2025-08-17T05:29:22,1,1,1,0,1,4,0.08,0,0,0,0,0,1,0,0.47,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,download
synthetic_user_0009,09593622-ad83-4d14-8236-17bea51dbb13,2025-08-17T12:08:37,1,1,1,0,1,3,0.08,0,0,0,0,0,0,1,0.69,0.0,0,1,0,0,0,0,0.0,0,0,0,0.0,1,download
synthetic_user_0026,09593622-ad83-4d14-8236-17bea51dbb13,2025-08-17T19:33:48,1,1,1,0,1,3,0.08,0,0,0,0,0,0,1,0.69,0.0,0,1,0,0,0,0,0.0,0,0,0,0.0,1,download
synthetic_user_0016,f6081dfd-75ec-4719-a05b-6ec1f95df15f,2025-08-20T21:08:29,1,1,1,0,1,3,0.08,0,0,0,0,0,0,1,1.05,0.0,0,1,0,0,0,0,0.0,0,0,0,0.0,1,download
synthetic_user_0012,c5310615-4076-41e9-9064-736593600471,2025-08-21T14:26:03,1,1,1,0,1,3,0.08,0,0,0,0,0,1,0,1.03,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,download
synthetic_user_0029,59bf0b38-d7b5-4024-a66e-a03f1b47095d,2025-08-21T22:26:20,1,1,1,0,1,3,0.08,0,0,0,0,0,1,3,1.03,0.0,0,1,0,0,0,0,0.0,0,0,0,0.0,1,download
synthetic_user_0019,8b44ea69-a5bb-4779-8c63-bf20e4da58c7,2025-08-22T17:03:18,1,1,1,0,1,3,0.08,0,0,0,0,0,0,1,0.69,0.0,0,1,0,0,0,0,0.0,0,0,0,0.0,1,download
synthetic_user_0015,a18002e2-24a3-4da4-b558-ea8cadcb047e,2025-08-22T17:58:32,1,1,1,0,1,3,0.08,0,0,0,0,0,1,0,0.58,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,download
synthetic_user_0027,dcd20897-e14a-43fc-b2ba-66bb4a569874,2025-08-23T08:04:40,1,1,1,0,1,3,0.08,0,0,0,0,0,0,1,0.69,0.0,0,1,0,0,0,0,0.0,0,0,0,0.0,1,download
synthetic_user_0021,8b44ea69-a5bb-4779-8c63-bf20e4da58c7,2025-08-24T03:33:58,1,1,1,0,1,3,0.08,0,0,0,0,0,1,1,0.69,0.0,0,1,0,0,0,0,0.0,0,0,0,0.0,1,download
synthetic_user_0010,5a0f55cf-16af-4459-9030-0c7c6e11207f,2025-08-24T04:40:24,1,1,1,0,1,3,0.08,0,0,0,0,0,1,0,0.58,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,download
