feature,importance
note_file_size_kb,1692
note_views_hist,1442
user_account_age_days,848
note_page_count,826
note_download_view_ratio,531
user_has_bio,530
note_downloads_hist,498
user_subject_interaction_count,385
user_total_views,361
note_is_processed,261
user_semester,226
user_note_prior_views,209
is_same_semester,202
semester_distance,187
note_likes_hist,162
user_uploader_affinity,139
note_bookmarks_hist,70
is_same_college,57
user_total_downloads,37
is_enrolled_subject,21
user_total_chats,14
is_same_branch,6
user_total_likes,1
user_total_bookmarks,0
note_tag_count,0
note_age_days,0
semantic_affinity_score,0
